1, H , Hydrogen,FFFFFF,1s1 
2, He , Helium,D9FFFF,1s2 
3, Li , Lithium,CC80FF,[He] 2s1 
4, Be , Beryllium,C2FF00,[He] 2s2 
5, B , Boron,FFB5B5,[He] 2s2 2p1 
6, C , Carbon,909090,[He] 2s2 2p2 
7, N , Nitrogen,3050F8,[He] 2s2 2p3 
8, O , Oxygen,FF0D0D,[He] 2s2 2p4 
9, F , Fluorine,9E+051,[He] 2s2 2p5 
10, Ne , Neon,B3E3F5,[He] 2s2 2p6 
11, Na , Sodium,AB5CF2,[Ne] 3s1 
12, Mg , Magnesium,8AFF00,[Ne] 3s2 
13, Al , Aluminum or Aluminium,BFA6A6,[Ne] 3s2 3p1 
14, Si , Silicon,F0C8A0,[Ne] 3s2 3p2 
15, P , Phosphorus,FF8000,[Ne] 3s2 3p3 
16, S , Sulfur,FFFF30,[Ne] 3s2 3p4 
17, Cl , Chlorine,1FF01F,[Ne] 3s2 3p5 
18, Ar , Argon,80D1E3,[Ne] 3s2 3p6 
19, K , Potassium,8F40D4,[Ar] 4s1 
20, Ca , Calcium,3DFF00,[Ar] 4s2 
21, Sc , Scandium,E6E6E6,[Ar] 3d1 4s2 
22, Ti , Titanium,BFC2C7,[Ar] 3d2 4s2 
23, V , Vanadium,A6A6AB,[Ar] 3d3 4s2 
24, Cr , Chromium,8A99C7,[Ar] 3d5 4s1 
25, Mn , Manganese,9C7AC7,[Ar] 3d5 4s2 
26, Fe , Iron,E06633,[Ar] 3d6 4s2 
27, Co , Cobalt,F090A0,[Ar] 3d7 4s2 
28, Ni , Nickel,50D050,[Ar] 3d8 4s2 
29, Cu , Copper,C88033,[Ar] 3d10 4s1 
30, Zn , Zinc,7D80B0,[Ar] 3d10 4s2 
31, Ga , Gallium,C28F8F,[Ar] 3d10 4s2 4p1 
32, Ge , Germanium,668F8F,[Ar] 3d10 4s2 4p2 
33, As , Arsenic,BD80E3,[Ar] 3d10 4s2 4p3 
34, Se , Selenium,FFA100,[Ar] 3d10 4s2 4p4 
35, Br , Bromine,A62929,[Ar] 3d10 4s2 4p5 
36, Kr , Krypton,5CB8D1,[Ar] 3d10 4s2 4p6 
37, Rb , Rubidium,702EB0,[Kr] 5s1 
38, Sr , Strontium,00FF00,[Kr] 5s2 
39, Y , Yttrium,94FFFF,[Kr] 4d1 5s2 
40, Zr , Zirconium,94E0E0,[Kr] 4d2 5s2 
41, Nb , Niobium,73C2C9,[Kr] 4d4 5s1 
42, Mo , Molybdenum,54B5B5,[Kr] 4d5 5s1 
43, Tc , Technetium,3B9E9E,[Kr] 4d5 5s2 
44, Ru , Ruthenium,248F8F,[Kr] 4d7 5s1 
45, Rh , Rhodium,0A7D8C,[Kr] 4d8 5s1 
46, Pd , Palladium,6985,[Kr] 4d10 
47, Ag , Silver,C0C0C0,[Kr] 4d10 5s1 
48, Cd , Cadmium,FFD98F,[Kr] 4d10 5s2 
49, In , Indium,A67573,[Kr] 4d10 5s2 5p1 
50, Sn , Tin,668080,[Kr] 4d10 5s2 5p2 
51, Sb , Antimony,9E63B5,[Kr] 4d10 5s2 5p3 
52, Te , Tellurium,D47A00,[Kr] 4d10 5s2 5p4 
53, I , Iodine,940094,[Kr] 4d10 5s2 5p5 
54, Xe , Xenon,429EB0,[Kr] 4d10 5s2 5p6 
55, Cs , Cesium,57178F,[Xe] 6s1 
56, Ba , Barium,00C900,[Xe] 6s2 
57, La , Lanthanum,70D4FF,[Xe] 5d1 6s2 
58, Ce , Cerium,FFFFC7,[Xe] 4f1 5d1 6s2 
59, Pr , Praseodymium,D9FFC7,[Xe] 4f3 6s2 
60, Nd , Neodymium,C7FFC7,[Xe] 4f4 6s2 
61, Pm , Promethium,A3FFC7,[Xe] 4f5 6s2 
62, Sm , Samarium,8FFFC7,[Xe] 4f6 6s2 
63, Eu , Europium,61FFC7,[Xe] 4f7 6s2 
64, Gd , Gadolinium,45FFC7,[Xe] 4f7 5d1 6s2 
65, Tb , Terbium,30FFC7,[Xe] 4f9 6s2 
66, Dy , Dysprosium,1FFFC7,[Xe] 4f10 6s2 
67, Ho , Holmium,00FF9C,[Xe] 4f11 6s2 
68, Er , Erbium,0,[Xe] 4f12 6s2 
69, Tm , Thulium,00D452,[Xe] 4f13 6s2 
70, Yb , Ytterbium,00BF38,[Xe] 4f14 6s2 
71, Lu , Lutetium,00AB24,[Xe] 4f14 5d1 6s2 
72, Hf , Hafnium,4DC2FF,[Xe] 4f14 5d2 6s2 
73, Ta , Tantalum,4DA6FF,[Xe] 4f14 5d3 6s2 
74, W , Tungsten,2194D6,[Xe] 4f14 5d4 6s2 
75, Re , Rhenium,267DAB,[Xe] 4f14 5d5 6s2 
76, Os , Osmium,266696,[Xe] 4f14 5d6 6s2 
77, Ir , Iridium,175487,[Xe] 4f14 5d7 6s2 
78, Pt , Platinum,D0D0E0,[Xe] 4f14 5d9 6s1 
79, Au , Gold,FFD123,[Xe] 4f14 5d10 6s1 
80, Hg , Mercury,B8B8D0,[Xe] 4f14 5d10 6s2 
81, Tl , Thallium,A6544D,[Xe] 4f14 5d10 6s2 6p1 
82, Pb , Lead,575961,[Xe] 4f14 5d10 6s2 6p2 
83, Bi , Bismuth,9E4FB5,[Xe] 4f14 5d10 6s2 6p3 
84, Po , Polonium,AB5C00,[Xe] 4f14 5d10 6s2 6p4 
85, At , Astatine,754F45,[Xe] 4f14 5d10 6s2 6p5 
86, Rn , Radon,428296,[Xe] 4f14 5d10 6s2 6p6 
87, Fr , Francium,420066,[Rn] 7s1 
88, Ra , Radium,007D00,[Rn] 7s2 
89, Ac , Actinium,70ABFA,[Rn] 6d1 7s2 
90, Th , Thorium,00BAFF,[Rn] 6d2 7s2 
91, Pa , Protactinium,00A1FF,[Rn] 5f2 6d1 7s2 
92, U , Uranium,008FFF,[Rn] 5f3 6d1 7s2 
93, Np , Neptunium,0080FF,[Rn] 5f4 6d1 7s2 
94, Pu , Plutonium,006BFF,[Rn] 5f6 7s2 
95, Am , Americium,545CF2,[Rn] 5f7 7s2 
96, Cm , Curium,785CE3,[Rn] 5f7 6d1 7s2 
97, Bk , Berkelium,8A4FE3,[Rn] 5f9 7s2 
98, Cf , Californium,A136D4,[Rn] 5f10 7s2 
99, Es , Einsteinium,B31FD4,[Rn] 5f11 7s2 
100, Fm , Fermium,B31FBA,[Rn] 5f12 7s2 
101, Md , Mendelevium,B30DA6,[Rn] 5f13 7s2 
102, No , Nobelium,BD0D87,[Rn] 5f14 7s2 
103, Lr , Lawrencium,C70066,[Rn] 5f14 7s2 7p1 
104, Rf , Rutherfordium,CC0059,[Rn] 5f14 6d2 7s2 
105, Db , Dubnium,D1004F,[Rn].5f14.6d3.7s2 
106, Sg , Seaborgium,D90045,[Rn].5f14.6d4.7s2 
107, Bh , Bohrium,E00038,[Rn].5f14.6d5.7s2 
108, Hs , Hassium,E6002E,[Rn].5f14.6d6.7s2 
109, Mt , Meitnerium,EB0026,[Rn].5f14.6d7.7s2 
110, Ds , Darmstadtium,,[Rn].5f14.6d9.7s1 
111, Rg , Roentgenium,,[Rn].5f14.6d10.7s1 
112, Cn , Copernicium,,[Rn].5f14.6d10.7s2 
113, Uut , Ununtrium,,[Rn].5f14.6d10.7s2.7p1 
114, Uuq , Ununquadium,,[Rn].5f14.6d10.7s2.7p2 
115, Uup , Ununpentium,,[Rn].5f14.6d10.7s2.7p3 
116, Uuh , Ununhexium,,[Rn].5f14.6d10.7s2.7p4 
117, Uus , Ununseptium,,[Rn].5f14.6d10.7s2.7p5 
118, Uuo , Ununoctium ,,[Rn].5f14.6d10.7s2.7p6 
